"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"numericConstants",0.06,0.00,0.06,8268,0.06,0.00,0.06,8268,0.06,0.00,0.07,8268
"operators",0.07,0.00,0.08,8480,0.07,0.00,0.07,8480,0.07,0.00,0.07,8480
"pingpong",1.03,0.00,1.04,22788,1.02,0.00,1.03,22788,1.02,0.02,1.04,22788
"preempt",2.45,0.02,2.48,30188,2.49,0.02,2.52,30188,2.50,0.01,2.52,30188
"prodcons",2.23,0.05,2.28,69012,2.26,0.04,2.31,69012,2.28,0.04,2.32,69008
"quickSort",2.24,0.00,2.25,30176,2.28,0.01,2.30,30176,2.24,0.02,2.26,30176
"quoted_keyword",0.18,0.00,0.19,28936,0.17,0.01,0.19,28936,0.18,0.01,0.19,28936
"random",1.73,0.01,1.75,29036,1.76,0.00,1.76,29036,1.74,0.03,1.77,29032
"recurse",2.37,0.02,2.39,31096,2.39,0.00,2.40,31096,2.34,0.03,2.38,31096
"references",0.09,0.00,0.10,8836,0.10,0.00,0.10,8836,0.10,0.00,0.10,8836
"result",0.10,0.00,0.11,9736,0.10,0.00,0.11,9736,0.10,0.00,0.11,9736
"runningTotal",1.90,0.16,2.07,318784,1.86,0.20,2.07,318784,1.94,0.16,2.10,318784
"searchsort",27.14,1.47,28.64,1103300,27.03,1.56,28.62,1103300,27.19,1.51,28.73,1103300
"self-assignment",0.07,0.00,0.07,8548,0.07,0.00,0.07,8548,0.06,0.00,0.07,8548
"shortCircuit",0.16,0.02,0.19,27800,0.18,0.01,0.19,27800,0.17,0.01,0.19,27800
"simpleGenericTriple",0.08,0.00,0.08,8756,0.08,0.00,0.08,8752,0.08,0.00,0.08,8756
"statement",4.57,0.06,4.65,86672,4.60,0.07,4.67,86672,4.55,0.08,4.63,86672
"stdincludes",2.44,0.01,2.46,29604,2.39,0.04,2.43,29604,2.55,0.02,2.58,29604
"swap",41.81,1.36,43.21,912172,41.40,1.36,42.80,912172,42.04,1.23,43.31,912172
"switch",0.08,0.00,0.08,8268,0.07,0.00,0.07,8268,0.07,0.00,0.07,8268
"sync",0.27,0.00,0.27,8268,0.27,0.00,0.27,8268,0.27,0.00,0.27,8268
"thread",2.40,0.02,2.43,46400,2.42,0.03,2.45,46400,2.42,0.02,2.44,46400
"time",3.86,0.42,4.29,611912,3.81,0.48,4.30,611912,3.81,0.46,4.28,611912
"tupleAssign",6.67,0.38,7.07,458192,6.59,0.48,7.08,458192,6.62,0.44,7.07,458192
"tupleCast",0.06,0.00,0.07,8272,0.06,0.00,0.07,8272,0.06,0.00,0.07,8272
